,0
0,N
1,N
2,N
3,Y
4,N
5,N
6,Y
7,N
8,Y
9,Y
10,N
11,N
12,Y
13,N
14,Y
15,N
16,Y
17,Y
18,Y
19,Y
20,Y
21,N
