Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-08-08 10:17 PM,2021-08-09 6:26 AM,PDT,489,462,23,3
2021-08-07 11:10 PM,2021-08-08 8:38 AM,PDT,569,499,45,25
2021-08-07 2:12 AM,2021-08-07 7:00 AM,PDT,288,279,9,0
2021-08-05 10:58 PM,2021-08-06 9:23 AM,PDT,626,591,30,5
2021-08-05 12:44 AM,2021-08-05 11:00 AM,PDT,616,565,50,0
2021-08-04 12:54 AM,2021-08-04 11:08 AM,PDT,614,556,44,13
2021-08-03 12:02 AM,2021-08-03 7:40 AM,PDT,458,413,35,10
2021-08-01 10:44 PM,2021-08-02 8:29 AM,PDT,586,506,70,9
2021-07-30 11:52 PM,2021-07-31 7:30 AM,PDT,458,432,25,1
2021-07-30 12:21 AM,2021-07-30 11:00 AM,PDT,639,590,49,0
2021-07-29 2:44 AM,2021-07-29 10:00 AM,PDT,435,390,44,2
2021-07-28 12:17 AM,2021-07-28 10:27 AM,PDT,610,577,31,3
2021-07-26 11:41 PM,2021-07-27 8:55 AM,PDT,554,524,29,0
2021-07-26 12:10 AM,2021-07-26 8:36 AM,PDT,506,472,33,1
2021-07-24 10:08 PM,2021-07-25 9:12 AM,PDT,663,626,36,2
2021-07-23 11:12 PM,2021-07-24 7:28 AM,PDT,496,460,35,0
2021-07-23 3:30 AM,2021-07-23 10:59 AM,PDT,450,417,33,0
2021-07-22 12:03 AM,2021-07-22 7:19 AM,PDT,435,414,21,0
2021-07-20 11:23 PM,2021-07-21 7:44 AM,PDT,502,477,24,0
2021-07-19 10:26 PM,2021-07-20 7:32 AM,PDT,546,500,46,0
2021-07-18 10:35 PM,2021-07-19 7:33 AM,PDT,538,502,36,0
2021-07-18 1:50 PM,2021-07-18 4:12 PM,PDT,143,137,4,2
2021-07-17 11:01 PM,2021-07-18 7:13 AM,PDT,491,479,12,0
2021-07-15 11:03 PM,2021-07-16 8:26 AM,PDT,564,531,33,0
2021-07-15 12:25 AM,2021-07-15 8:28 AM,PDT,483,462,22,0
2021-07-13 11:21 PM,2021-07-14 8:40 AM,PDT,559,522,37,0
2021-07-12 10:46 PM,2021-07-13 8:11 AM,PDT,565,527,37,1
