Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
6/20/2021 23:21,6/21/2021 7:53,PDT,512,484,24,3
6/19/2021 22:23,6/20/2021 8:34,PDT,610,579,31,0
6/18/2021 21:23,6/19/2021 6:32,PDT,550,479,51,19
6/17/2021 22:55,6/18/2021 7:58,PDT,543,503,35,5
6/17/2021 0:11,6/17/2021 8:19,PDT,488,464,24,0
6/16/2021 0:41,6/16/2021 7:58,PDT,437,423,14,0
6/14/2021 23:20,6/15/2021 8:16,PDT,536,507,27,2
6/13/2021 21:30,6/14/2021 7:30,PDT,600,562,38,0
6/11/2021 23:24,6/12/2021 8:10,PDT,526,481,42,3
6/10/2021 22:27,6/11/2021 8:00,PDT,572,529,43,0
6/9/2021 22:51,6/10/2021 8:07,PDT,557,534,22,0
6/8/2021 22:00,6/9/2021 7:17,PDT,557,530,24,4
6/7/2021 22:25,6/8/2021 7:00,PDT,515,488,28,0
6/6/2021 22:24,6/7/2021 7:16,PDT,532,511,21,0
6/6/2021 0:04,6/6/2021 9:42,PDT,578,498,70,10
6/4/2021 23:39,6/5/2021 7:48,PDT,489,473,17,0
6/3/2021 21:53,6/4/2021 8:58,PDT,664,613,51,0
6/2/2021 22:36,6/3/2021 2:00,PDT,204,197,7,0
6/2/2021 22:30,6/3/2021 6:30,PDT,480,0,0,0
6/1/2021 22:00,6/2/2021 9:08,PDT,667,608,59,1
5/31/2021 23:41,6/1/2021 8:30,PDT,529,496,28,5
5/29/2021 23:45,5/30/2021 9:28,PDT,584,535,49,0
5/29/2021 14:16,5/29/2021 20:04,PDT,348,296,37,16
5/28/2021 22:51,5/29/2021 9:36,PDT,644,571,53,21
5/27/2021 21:43,5/28/2021 9:47,PDT,723,693,30,0
5/27/2021 3:46,5/27/2021 7:47,PDT,241,223,15,3
5/25/2021 21:06,5/26/2021 7:00,PDT,594,558,29,7
5/24/2021 21:42,5/25/2021 8:06,PDT,624,584,39,1
5/23/2021 16:00,5/24/2021 8:11,PDT,971,894,64,13
5/22/2021 23:39,5/23/2021 9:12,PDT,573,543,31,0
5/21/2021 22:50,5/22/2021 9:42,PDT,652,614,37,2
5/20/2021 22:05,5/21/2021 8:44,PDT,639,580,58,0
5/19/2021 23:23,5/20/2021 8:06,PDT,523,500,23,0
5/18/2021 22:21,5/19/2021 7:27,PDT,547,509,38,0
5/16/2021 21:49,5/17/2021 7:11,PDT,562,528,33,0
5/15/2021 22:30,5/16/2021 8:42,PDT,613,575,38,0
5/14/2021 22:22,5/15/2021 7:56,PDT,574,549,25,0
5/13/2021 22:17,5/14/2021 7:19,PDT,542,508,34,0
5/12/2021 21:33,5/13/2021 8:37,PDT,665,583,74,8
5/11/2021 21:58,5/12/2021 8:27,PDT,629,592,37,0
5/10/2021 22:00,5/11/2021 8:04,PDT,605,566,38,0
5/10/2021 0:20,5/10/2021 7:11,PDT,411,396,15,0
5/8/2021 19:58,5/9/2021 8:29,PDT,751,713,31,7
5/8/2021 3:18,5/8/2021 7:28,PDT,250,232,18,0
5/5/2021 23:50,5/6/2021 6:56,PDT,427,407,11,9
5/5/2021 0:33,5/5/2021 6:44,PDT,371,360,11,0
5/4/2021 0:33,5/4/2021 8:13,PDT,460,433,22,5
5/2/2021 23:47,5/3/2021 8:30,PDT,522,478,39,5
5/2/2021 0:44,5/2/2021 8:30,PDT,466,428,26,12
4/30/2021 22:55,5/1/2021 4:30,PDT,335,311,20,3
4/30/2021 0:21,4/30/2021 7:43,PDT,442,424,18,0
4/28/2021 22:48,4/29/2021 7:54,PDT,546,515,28,3
4/27/2021 23:54,4/28/2021 7:00,PDT,425,407,18,0
4/26/2021 23:57,4/27/2021 7:09,PDT,432,415,17,0
4/25/2021 23:42,4/26/2021 6:55,PDT,433,416,17,0
4/25/2021 2:04,4/25/2021 9:05,PDT,421,358,61,2
4/23/2021 23:34,4/24/2021 7:19,PDT,464,429,24,12
4/22/2021 22:00,4/23/2021 7:25,PDT,565,496,38,30
4/21/2021 22:08,4/22/2021 3:30,PDT,321,281,33,7
